user_id,ate_date,dish,tags,rating,mood,decided
U8908fdb52a3705527eed6b130b62fc0c,2025-04-15,麻婆豆腐,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-16,豚肉春雨ミルフィーユ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-17,豆腐グラタン（ひき肉）,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-18,サルシッチャのパスタ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-19,干し豆腐炒め,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-19,きゅうりと塩昆布の和物,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-19,つくね,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-19,バジルチャーハン,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-20,チキンキノコソテー,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-21,豚ロースステーキ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-23,チキンステーキきのこがけ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-24,手羽先のオーブン焼き,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-25,やきとんだいだら,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-26,ポークソテー,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-27,豚汁、ニラ玉、干し豆腐,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-28,ニラ玉、唐揚げ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-29,豚肉春雨鍋,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-04-30,カオマンガイ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-01,チキンと野菜のオーブン焼き,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-02,成城石井のラザニア、パスタ、ヤンニョムチキン,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-03,なこサラダ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-04,[[牛肉のクミン炒め]],,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-05,チキンカレー,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-06,肉豆腐,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-07,チキンソテーサラダ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-09,ラザニア,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-10,マーボ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-11,トマトファルシ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-11,バジルチャーハン,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-12,ポークソテー withバジルソース,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-13,キノコチキン,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-14,サルシッチャ、チキンソテー,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-16,豚生姜丼,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-17,春雨炒め,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-18,チキンカレー,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-24,餃子,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-27,手羽先牛肉スープ,,,,
U8908fdb52a3705527eed6b130b62fc0c,2025-05-28,春雨炒め,,,,